N,r,rho,regime,L,window,validated_R,R,precision,recall,FP,FN,TP
1013,1012,0.9990128331688055,LOW_SNR,65536,hamming,9,2,0.9771863117870723,0.07418397626112759,6.0,936.0,75.0
1013,1012,0.9990128331688055,LOW_SNR,65536,hamming,9,3,1.0,0.07418397626112759,0.0,936.0,75.0
1013,1012,0.9990128331688055,LOW_SNR,65536,hamming,9,4,1.0,0.07418397626112759,0.0,936.0,75.0
1013,1012,0.9990128331688055,LOW_SNR,65536,hamming,9,5,1.0,0.07418397626112759,0.0,936.0,75.0
1013,1012,0.9990128331688055,LOW_SNR,65536,hamming,9,6,1.0,0.07418397626112759,0.0,936.0,75.0
1013,1012,0.9990128331688055,LOW_SNR,65536,hamming,9,7,1.0,0.07418397626112759,0.0,936.0,75.0
1013,1012,0.9990128331688055,LOW_SNR,65536,hamming,9,8,1.0,0.07418397626112759,0.0,936.0,75.0
1013,1012,0.9990128331688055,LOW_SNR,65536,hamming,9,9,1.0,0.07418397626112759,0.0,936.0,75.0
1013,1012,0.9990128331688055,LOW_SNR,65536,hamming,9,10,1.0,0.07418397626112759,0.0,936.0,75.0
1013,1012,0.9990128331688055,LOW_SNR,65536,blackman,9,2,0.9163498098859315,0.06429277942631058,22.0,946.0,65.0
1013,1012,0.9990128331688055,LOW_SNR,65536,blackman,9,3,0.9923954372623575,0.06429277942631058,2.0,946.0,65.0
1013,1012,0.9990128331688055,LOW_SNR,65536,blackman,9,4,1.0,0.06429277942631058,0.0,946.0,65.0
1013,1012,0.9990128331688055,LOW_SNR,65536,blackman,9,5,1.0,0.06429277942631058,0.0,946.0,65.0
1013,1012,0.9990128331688055,LOW_SNR,65536,blackman,9,6,1.0,0.06429277942631058,0.0,946.0,65.0
1013,1012,0.9990128331688055,LOW_SNR,65536,blackman,9,7,1.0,0.06429277942631058,0.0,946.0,65.0
1013,1012,0.9990128331688055,LOW_SNR,65536,blackman,9,8,1.0,0.06429277942631058,0.0,946.0,65.0
