source,title,doi,url,pdf_url,local_pdf,year,venue,query
arxiv,"SM-NAS: Structural-to-Modular Neural Architecture Search for Object
  Detection",,http://arxiv.org/abs/1911.09929v2,http://arxiv.org/pdf/1911.09929v2,/home/admin/dev/VRA/Novelty/papers/SM-NAS_Structural-to-Modular_Neural_Architecture_Search_for_Object_Detection.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,The term a_4 in the heat kernel expansion of noncommutative tori,,http://arxiv.org/abs/1611.09815v1,http://arxiv.org/pdf/1611.09815v1,/home/admin/dev/VRA/Novelty/papers/The_term_a_4_in_the_heat_kernel_expansion_of_noncommutative_tori.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"Chaotic Roots of the Modular Multiplication Dynamical System in Shor's
  Algorithm",,http://arxiv.org/abs/2306.16446v1,http://arxiv.org/pdf/2306.16446v1,/home/admin/dev/VRA/Novelty/papers/Chaotic_Roots_of_the_Modular_Multiplication_Dynamical_System_in_Shor_s_Algorithm.pdf,,,multiplicative order detection spectrum modular exponentiation
crossref,Circular Multiplicative Modular Exponentiation: A New Public Key Exchange Algorithm,10.31219/osf.io/dqaj4,https://doi.org/10.31219/osf.io/dqaj4,,,2023,,multiplicative order detection spectrum modular exponentiation
crossref,Efficient regular modular exponentiation using multiplicative half-size splitting,10.1007/s13389-016-0134-5,https://doi.org/10.1007/s13389-016-0134-5,http://link.springer.com/content/pdf/10.1007/s13389-016-0134-5.pdf,/home/admin/dev/VRA/Novelty/papers/Efficient_regular_modular_exponentiation_using_multiplicative_half-size_splitting.pdf,2016,Journal of Cryptographic Engineering,multiplicative order detection spectrum modular exponentiation
crossref,"Modular Addition, Multiplication, and Exponentiation",10.3840/001914,https://doi.org/10.3840/001914,,,2007,Wolfram Demonstrations Project,multiplicative order detection spectrum modular exponentiation
crossref,"Modular Addition, Multiplication, and Exponentiation",10.3840/07001914,https://doi.org/10.3840/07001914,,,2007,Wolfram Demonstrations Project,multiplicative order detection spectrum modular exponentiation
crossref,Where All Roads Meet: Modular Exponentiation,10.1007/978-1-4302-0026-0_6,https://doi.org/10.1007/978-1-4302-0026-0_6,,,,Cryptography in C and C++,multiplicative order detection spectrum modular exponentiation
crossref,"Modular Exponentiation, Modular Logarithm, and One-Way Functions",10.1017/cbo9781139084772.012,https://doi.org/10.1017/cbo9781139084772.012,,,2014,A Cryptography Primer,multiplicative order detection spectrum modular exponentiation
crossref,Efficient Randomized Regular Modular Exponentiation using Combined Montgomery and Barrett Multiplications,10.5220/0005998503680375,https://doi.org/10.5220/0005998503680375,,,2016,Proceedings of the 13th International Joint Conference on e-Business and Telecommunications,multiplicative order detection spectrum modular exponentiation
crossref,High-Performance RNS Modular Exponentiation by Sum-Residue Reduction,10.21203/rs.3.rs-86431/v1,https://doi.org/10.21203/rs.3.rs-86431/v1,,,2020,,multiplicative order detection spectrum modular exponentiation
crossref,MODULAR EXPONENTIATION,10.47839/ijc.2.3.229,https://doi.org/10.47839/ijc.2.3.229,https://computingonline.net/computing/article/download/229/204,/home/admin/dev/VRA/Novelty/papers/MODULAR_EXPONENTIATION.pdf,2014,International Journal of Computing,multiplicative order detection spectrum modular exponentiation
crossref,Bit Forwarding Techniques for Efficient Modular Exponentiation,10.1007/978-3-030-74524-0_9,https://doi.org/10.1007/978-3-030-74524-0_9,,,2021,Energy-Efficient Modular Exponential Techniques for Public-Key Cryptography,multiplicative order detection spectrum modular exponentiation
crossref,Data and Computational Fault Detection Mechanism for Devices That Perform Modular Exponentiation,10.1007/11889700_8,https://doi.org/10.1007/11889700_8,,,2006,Lecture Notes in Computer Science Fault Diagnosis and Tolerance in Cryptography,multiplicative order detection spectrum modular exponentiation
crossref,A radix-4 modular multiplication hardware algorithm for modular exponentiation,10.1109/12.156537,https://doi.org/10.1109/12.156537,,,1992,IEEE Transactions on Computers,multiplicative order detection spectrum modular exponentiation
crossref,Using Genetic Algorithm in Inner Product to Resist Modular Exponentiation From Higher Order DPA Attacks,10.1109/access.2021.3139925,https://doi.org/10.1109/access.2021.3139925,,,2022,IEEE Access,multiplicative order detection spectrum modular exponentiation
crossref,Where All Roads Meet: Modular Exponentiation,10.1007/978-1-4302-1157-0_6,https://doi.org/10.1007/978-1-4302-1157-0_6,,,2001,Cryptography in C and C++,multiplicative order detection spectrum modular exponentiation
crossref,Implementation of Modular Exponentiation in Dual-Core,10.1007/978-3-030-74524-0_12,https://doi.org/10.1007/978-3-030-74524-0_12,,,2021,Energy-Efficient Modular Exponential Techniques for Public-Key Cryptography,multiplicative order detection spectrum modular exponentiation
crossref,Review of Hardware Techniques for Improving Performance of Modular Exponentiation,10.1007/978-3-030-74524-0_5,https://doi.org/10.1007/978-3-030-74524-0_5,,,2021,Energy-Efficient Modular Exponential Techniques for Public-Key Cryptography,multiplicative order detection spectrum modular exponentiation
crossref,Where All Roads Meet: Modular Exponentiation,10.1007/978-1-4302-5099-9_6,https://doi.org/10.1007/978-1-4302-5099-9_6,,,2013,Cryptography in C and C++,multiplicative order detection spectrum modular exponentiation
crossref,Spectral Modular Exponentiation,10.1109/arith.2007.34,https://doi.org/10.1109/arith.2007.34,,,2007,18th IEEE Symposium on Computer Arithmetic (ARITH '07),multiplicative order detection spectrum modular exponentiation
crossref,More Modular Exponentiation (MODP) Diffie-Hellman (DH) Key Exchange (KEX) Groups for Secure Shell (SSH),10.17487/rfc8268,https://doi.org/10.17487/rfc8268,,,2017,,multiplicative order detection spectrum modular exponentiation
crossref,Shor's Factoring Algorithm and Modular Exponentiation Operators,10.12743/quanta.v12i1.235,https://doi.org/10.12743/quanta.v12i1.235,https://dankogeorgiev.com/ojs/index.php/quanta/article/download/77/77,/home/admin/dev/VRA/Novelty/papers/Shor_s_Factoring_Algorithm_and_Modular_Exponentiation_Operators.pdf,2023,Quanta,multiplicative order detection spectrum modular exponentiation
crossref,A randomized binary modular exponentiation based RSA algorithm against the comparative power analysis,10.1109/icade.2012.6330119,https://doi.org/10.1109/icade.2012.6330119,,,2012,"2012 IEEE International Conference on Intelligent Control, Automatic Detection and High-End Equipment",multiplicative order detection spectrum modular exponentiation
crossref,Modular exponentiation with inner product to resist higher-order DPA attacks,10.1007/s11334-019-00346-2,https://doi.org/10.1007/s11334-019-00346-2,http://link.springer.com/content/pdf/10.1007/s11334-019-00346-2.pdf,/home/admin/dev/VRA/Novelty/papers/Modular_exponentiation_with_inner_product_to_resist_higher-order_DPA_attacks.pdf,2019,Innovations in Systems and Software Engineering,multiplicative order detection spectrum modular exponentiation
crossref,Montgomery modular exponentiation on reconfigurable hardware,10.1109/arith.1999.762831,https://doi.org/10.1109/arith.1999.762831,,,,Proceedings 14th IEEE Symposium on Computer Arithmetic (Cat. No.99CB36336),multiplicative order detection spectrum modular exponentiation
crossref,Review of Algorithmic Techniques for Improving the Performance of Modular Exponentiation,10.1007/978-3-030-74524-0_4,https://doi.org/10.1007/978-3-030-74524-0_4,,,2021,Energy-Efficient Modular Exponential Techniques for Public-Key Cryptography,multiplicative order detection spectrum modular exponentiation
crossref,Montgomery modular exponentiation on FPGA,10.1109/icm.2012.6471439,https://doi.org/10.1109/icm.2012.6471439,,,2012,2012 24th International Conference on Microelectronics (ICM),multiplicative order detection spectrum modular exponentiation
crossref,An algorithm for modular exponentiation,10.1109/arith.1981.6159298,https://doi.org/10.1109/arith.1981.6159298,,,1981,1981 IEEE 5th Symposium on Computer Arithmetic (ARITH),multiplicative order detection spectrum modular exponentiation
crossref,Truncated Modular Exponentiation Operators: A Strategy for Quantum Factoring,10.12743/quanta.v13i1.277,https://doi.org/10.12743/quanta.v13i1.277,https://dankogeorgiev.com/ojs/index.php/quanta/article/download/88/88,/home/admin/dev/VRA/Novelty/papers/Truncated_Modular_Exponentiation_Operators_A_Strategy_for_Quantum_Factoring.pdf,2024,Quanta,multiplicative order detection spectrum modular exponentiation
crossref,"Exponentiation, Modular Multiplication and VLSI Implementation of High-Speed RSA Cryptography",10.7146/dpb.v24i499.7027,https://doi.org/10.7146/dpb.v24i499.7027,http://ojs.statsbiblioteket.dk/index.php/daimipb/article/viewFile/7027/5988,/home/admin/dev/VRA/Novelty/papers/Exponentiation_Modular_Multiplication_and_VLSI_Implementation_of_High-Speed_RSA_Cryptography.pdf,1995,DAIMI Report Series,multiplicative order detection spectrum modular exponentiation
crossref,Scaling Modular Exponentiation Hardware to the Minimum,10.1049/ic.2012.0216,https://doi.org/10.1049/ic.2012.0216,,,2012,IET Irish Signals and Systems Conference (ISSC 2012),multiplicative order detection spectrum modular exponentiation
crossref,FPGA implementation of the m-ary modular exponentiation,10.1109/idt.2013.6727140,https://doi.org/10.1109/idt.2013.6727140,,,2013,2013 8th IEEE Design and Test Symposium,multiplicative order detection spectrum modular exponentiation
crossref,High-performance modular exponentiation algorithm by using a new modified modular multiplication algorithm and common-multiplicand-multiplication method,10.1109/worldcis17046.2011.5749849,https://doi.org/10.1109/worldcis17046.2011.5749849,,,2011,2011 World Congress on Internet Security (WorldCIS-2011),multiplicative order detection spectrum modular exponentiation
crossref,Efficient Leak Resistant Modular Exponentiation in RNS,10.1109/arith.2017.39,https://doi.org/10.1109/arith.2017.39,,,2017,2017 IEEE 24th Symposium on Computer Arithmetic (ARITH),multiplicative order detection spectrum modular exponentiation
crossref,Fast quantum modular exponentiation,10.1103/physreva.71.052320,https://doi.org/10.1103/physreva.71.052320,,,2005,Physical Review A,multiplicative order detection spectrum modular exponentiation
crossref,A New Modified CMM Modular Exponentiation Algorithm,10.20533/ijicr.2042.4655.2011.0021,https://doi.org/10.20533/ijicr.2042.4655.2011.0021,,,2011,International Journal of Intelligent Computing Research,multiplicative order detection spectrum modular exponentiation
