source,target,weight
13,63,1.0000
13,64,1.0000
13,65,1.0000
13,66,1.0000
13,67,1.0000
13,68,1.0000
13,69,1.0000
13,70,0.7071
13,71,1.0000
13,72,1.0000
13,73,1.0000
14,15,1.0000
14,16,1.0000
14,17,1.0000
14,18,1.0000
14,19,0.9088
14,20,0.8928
14,21,0.7578
14,22,0.9122
14,23,0.3925
14,24,0.8687
14,26,0.8600
14,27,0.9615
14,28,0.8600
14,29,0.9615
14,30,0.9615
14,31,0.9615
14,32,0.9615
14,33,0.8600
14,34,0.9615
14,36,0.9615
14,37,0.8600
14,38,0.9615
14,39,0.9615
14,40,0.8600
14,41,0.5551
14,42,0.9615
14,43,0.9615
14,44,0.8600
14,45,0.7238
14,46,0.7238
14,47,0.9920
14,48,0.7238
14,49,0.7238
14,50,0.9920
14,51,0.7238
14,52,0.9920
14,53,0.7238
14,54,0.7218
14,55,0.7218
14,56,0.8245
14,58,0.9615
14,59,0.9615
14,60,0.9615
14,61,0.9615
14,62,0.6799
14,63,0.9615
14,64,0.9615
14,65,0.9615
14,66,0.9615
14,67,0.9615
14,68,0.9615
14,69,0.9615
14,70,0.6799
14,71,0.9615
14,72,0.9615
14,73,0.9615
15,16,1.0000
15,17,1.0000
15,18,1.0000
15,19,0.9088
15,20,0.8928
15,21,0.7578
15,22,0.9122
15,23,0.3925
15,24,0.8687
15,26,0.8600
15,27,0.9615
15,28,0.8600
15,29,0.9615
15,30,0.9615
15,31,0.9615
15,32,0.9615
15,33,0.8600
15,34,0.9615
15,36,0.9615
15,37,0.8600
15,38,0.9615
15,39,0.9615
15,40,0.8600
15,41,0.5551
15,42,0.9615
15,43,0.9615
15,44,0.8600
15,45,0.7238
15,46,0.7238
15,47,0.9920
15,48,0.7238
15,49,0.7238
15,50,0.9920
15,51,0.7238
15,52,0.9920
15,53,0.7238
15,54,0.7218
15,55,0.7218
15,56,0.8245
15,58,0.9615
15,59,0.9615
15,60,0.9615
15,61,0.9615
15,62,0.6799
15,63,0.9615
15,64,0.9615
15,65,0.9615
15,66,0.9615
15,67,0.9615
15,68,0.9615
15,69,0.9615
15,70,0.6799
15,71,0.9615
15,72,0.9615
15,73,0.9615
16,17,1.0000
16,18,1.0000
16,19,0.9088
16,20,0.8928
16,21,0.7578
16,22,0.9122
16,23,0.3925
16,24,0.8687
16,26,0.8600
16,27,0.9615
16,28,0.8600
16,29,0.9615
16,30,0.9615
16,31,0.9615
16,32,0.9615
16,33,0.8600
16,34,0.9615
16,36,0.9615
16,37,0.8600
